
1,Connected,active,2724.8551714902032;4442.624406054649;0, Succesful, 0.306
2,Connected,active,2725.129191519517;4444.470813598632;0, Succesful, 0.799
3,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 2.268
4,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 2.290
5,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 2.625
6,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.986
7,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.693
8,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.612
9,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.295
10,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.258
11,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.263
12,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.255
13,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.256
14,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.258
15,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.245
16,Connected,active,2725.197696526845;4444.582717086146;0, Succesful, 0.240
17,Connected,active,2725.7457365854716;4478.937087752983;0, Succesful, 0.246
18,Connected,active,2724.4441414462335;4484.476310384934;0, Succesful, 0.245
19,Connected,active,2720.4023460138646;4492.085747535894;0, Succesful, 0.256
20,Connected,active,2631.2773314797546;4533.098375709821;0, Succesful, 0.257
21,Connected,active,2501.5973526072953;4546.974408161574;0, Succesful, 0.252
22,Connected,active,2374.0410289620127;4560.682585382054;0, Succesful, 0.250
23,Connected,active,2173.458367504769;4581.552585803439;0, Succesful, 0.267
24,Connected,active,2032.8860924671105;4592.96674152988;0, Succesful, 0.234
25,Connected,active,1901.3564783967872;4600.2964199620565;0, Succesful, 0.242
26,Connected,active,1704.4730873352717;4615.291487288949;0, Succesful, 0.251
