
1,Connected,active,2713.825865310348;4375.650168777443;0, Succesful, 0.967
2,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 4.573
3,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 3.737
4,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 3.751
5,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 0.960
6,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 2.635
7,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 2.866
8,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 2.703
9,Connected,active,2718.2786907866875;4402.842716243376;0, Succesful, 2.921
10,Connected,active,2720.1968309918793;4414.256871969817;0, Succesful, 2.953
11,Connected,active,2726.088261622113;4450.010036230581;0, Succesful, 2.988
12,Connected,active,2582.2277462326965;4538.357839622985;0, Succesful, 2.901
13,Connected,active,2165.9913217059852;4582.279958472281;0, Succesful, 3.550
14,Connected,active,1899.506843198923;4600.40832344957;0, Succesful, 2.572
